#Layout of plot zone full-shd : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-01-21  11:10 pshenoa ITER#012_(DT1-F57-W,_15MA,_H-mode,_D+He+Ne,_120MW,_wlld_3/9/
#R	Z	Rc	Zc	x	DG_elm
 4.19588E+00	-3.84885E+00	 4.19218E+00	-3.85644E+00	 1.95734E+01	  730
 4.18848E+00	-3.86403E+00	 4.18425E+00	-3.87270E+00	 1.95915E+01	  729
 4.18002E+00	-3.88137E+00	 4.19125E+00	-3.88255E+00	 1.96124E+01	  940
 4.20248E+00	-3.88373E+00	 4.20869E+00	-3.88422E+00	 1.96300E+01	  939
 4.21491E+00	-3.88471E+00	 4.21707E+00	-3.88487E+00	 1.96384E+01	  938
 4.21922E+00	-3.88504E+00	 4.22258E+00	-3.88531E+00	 1.96439E+01	  937
 4.22593E+00	-3.88557E+00	 4.22903E+00	-3.88582E+00	 1.96504E+01	  936
 4.23214E+00	-3.88606E+00	 4.23508E+00	-3.88629E+00	 1.96564E+01	  935
 4.23803E+00	-3.88653E+00	 4.24088E+00	-3.88675E+00	 1.96622E+01	  934
 4.24373E+00	-3.88698E+00	 4.24653E+00	-3.88720E+00	 1.96679E+01	  933
 4.24934E+00	-3.88742E+00	 4.25213E+00	-3.88764E+00	 1.96735E+01	  932
 4.25492E+00	-3.88786E+00	 4.25704E+00	-3.88802E+00	 1.96785E+01	  931
 4.25916E+00	-3.88819E+00	 4.26268E+00	-3.88847E+00	 1.96841E+01	  930
 4.26621E+00	-3.88875E+00	 4.26912E+00	-3.88898E+00	 1.96906E+01	  929
 4.27202E+00	-3.88921E+00	 4.27504E+00	-3.88944E+00	 1.96965E+01	  928
 4.27806E+00	-3.88968E+00	 4.28123E+00	-3.88993E+00	 1.97027E+01	  927
 4.28441E+00	-3.89018E+00	 4.28780E+00	-3.89045E+00	 1.97093E+01	  926
 4.29119E+00	-3.89072E+00	 4.29489E+00	-3.89101E+00	 1.97164E+01	  925
 4.29859E+00	-3.89130E+00	 4.30274E+00	-3.89163E+00	 1.97243E+01	  924
 4.30690E+00	-3.89195E+00	 4.31039E+00	-3.89223E+00	 1.97320E+01	  923
 4.31389E+00	-3.89250E+00	 4.32125E+00	-3.89308E+00	 1.97429E+01	  922
 4.32862E+00	-3.89366E+00	 4.33665E+00	-3.89430E+00	 1.97583E+01	  921
 4.34469E+00	-3.89493E+00	 4.35529E+00	-3.89577E+00	 1.97770E+01	  920
 4.36588E+00	-3.89660E+00	 4.37491E+00	-3.89731E+00	 1.97967E+01	  919
 4.38394E+00	-3.89802E+00	 4.40289E+00	-3.89952E+00	 1.98248E+01	  918
 4.42185E+00	-3.90101E+00	 4.43902E+00	-3.90236E+00	 1.98610E+01	  917
 4.45619E+00	-3.90372E+00	 4.47408E+00	-3.90375E+00	 1.98961E+01	  916
 4.49196E+00	-3.90378E+00	 4.48915E+00	-3.92115E+00	 1.99316E+01	  915
 4.48634E+00	-3.93853E+00	 4.48304E+00	-3.95708E+00	 1.99680E+01	  914
 4.47975E+00	-3.97563E+00	 4.47240E+00	-3.99567E+00	 2.00082E+01	  913
 4.46505E+00	-4.01572E+00	 4.45287E+00	-4.03715E+00	 2.00542E+01	  912
 4.44069E+00	-4.05859E+00	 4.43327E+00	-4.06724E+00	 2.00903E+01	  911
 4.42586E+00	-4.07588E+00	 4.41739E+00	-4.08575E+00	 2.01147E+01	  910
 4.40892E+00	-4.09562E+00	 4.40510E+00	-4.10007E+00	 2.01335E+01	  909
 4.49150E+00	-3.90650E+00	 4.56840E+00	-3.82485E+00	 2.02516E+01	   32
 4.64131E+00	-3.75526E+00	 4.68573E+00	-3.73594E+00	 2.04122E+01	 1002
 4.73016E+00	-3.71662E+00	 4.76451E+00	-3.71243E+00	 2.04952E+01	 1003
 4.79885E+00	-3.70824E+00	 4.83362E+00	-3.70908E+00	 2.05646E+01	 1004
 4.86840E+00	-3.70993E+00	 4.89941E+00	-3.71481E+00	 2.06308E+01	 1005
 4.93042E+00	-3.71969E+00	 4.95386E+00	-3.72570E+00	 2.06864E+01	 1006
 4.97730E+00	-3.73171E+00	 4.98452E+00	-3.73434E+00	 2.07183E+01	 1007
 4.99174E+00	-3.73698E+00	 4.99743E+00	-3.73964E+00	 2.07322E+01	 1008
 5.00313E+00	-3.74230E+00	 5.02067E+00	-3.75050E+00	 2.07579E+01	 1009
 5.03821E+00	-3.75870E+00	 5.06136E+00	-3.77227E+00	 2.08041E+01	 1010
 5.08451E+00	-3.78584E+00	 5.10976E+00	-3.80432E+00	 2.08622E+01	 1011
 5.13501E+00	-3.82280E+00	 5.15741E+00	-3.84633E+00	 2.09260E+01	 1012
 5.17981E+00	-3.86985E+00	 5.19802E+00	-3.89604E+00	 2.09904E+01	 1013
 5.25260E+00	-3.98240E+00	 5.26245E+00	-4.12160E+00	 2.11618E+01	   41
 5.12194E+00	-4.40302E+00	 5.14950E+00	-4.40272E+00	 2.13289E+01	  941
